Cytokine,FI-LPS/FInoLPS,-log10pvalue,log2fc
EGF,"[1.0390879478827362, 0.9764705882352941, 0.8988970588235293, 1.0919117647058822, 1.0367647058823528]",0.3972917033219219,-0.09115753822452291
Eotaxin,"[1.25, 1.3571428571428572, 0.8571428571428571, 1.1428571428571428, 0.7619047619047619]",0.09340974827526895,0.012391911052363216
FGF-2,"[1.2738095238095237, 1.0681818181818181, 0.896551724137931, 0.8620689655172413, 0.9655172413793104]",0.2573437311671542,0.10273810558925855
FLT-3L,"[1.2666666666666666, 1.0833333333333333, 1.11864406779661, 1.1694915254237288, 1.11864406779661]",0.0620191955901374,0.01895579605443885
Fractalkine,"[1.0198019801980198, 1.3454545454545455, 0.9622641509433961, 0.9056603773584905, 0.7358490566037735]",2.0439628709160367,0.20333389971179736
G-CSF,"[1.481942714819427, 2.0686274509803924, 1.105263157894737, 1.0657894736842106, 1.223684210526316]",0.020660922125573935,-0.008963810753130224
GM-CSF,"[0.8713091922005571, 1.008070432868672, 5.4811764705882355, 6.188823529411765, 4.2564705882352944]",0.98716167392155,0.4741103731123539
GROα,"[1.849009900990099, 1.5612516644474035, 1.0975609756097562, 0.8780487804878049, 1.024390243902439]",1.0806183113553152,1.8323513247340104
IFN-α2,"[1.0714285714285714, 1.0526315789473684, 1.25, 1.125, 1.25]",0.7071099483701931,0.3584551311392646
IFNγ,"[1.1375, 0.9727272727272728, 1.064516129032258, 0.9354838709677419, 1.0]",1.6107417370686232,0.20139803034920073
IL-1α,"[1.2217659137577002, 2.2899543378995433, 0.7012987012987013, 0.7142857142857143, 0.6753246753246753]",0.24358538271284108,0.03145936025699373
IL-1β,"[1.2424242424242424, 1.368421052631579, 0.9069767441860465, 0.8372093023255813, 0.7674418604651162]",0.14455504602839786,0.16417595535880333
IL-1RA,"[8.913151364764268, 1.2291666666666667, 1.05, 1.275, 1.3499999999999999]",0.07247186948703654,0.034912436980520864
IL-2,"[1.0149253731343284, 1.1559633027522935, 0.9878048780487805, 0.951219512195122, 1.0609756097560976]",0.5009548376407936,1.4664776129587425
IL-3,"[0.6384180790960452, 1.0084269662921348, 8.556701030927835, 7.144329896907217, 5.855670103092783]",0.4111274572398963,0.04848415047249284
IL-4,"[1.1326530612244898, 1.359375, 1.1219512195121952, 1.1219512195121952, 0.975609756097561]",1.0580317331962101,2.2143453017225547
IL-5,"[1.0714285714285714, 0.5833333333333334, 1.2857142857142858, 1.0, 1.1428571428571428]",1.0865647579147002,0.19195176112829976
IL-6,"[1.2290786136939984, 1.56385982394951, 10.642857142857142, 12.821428571428571, 7.285714285714286]",0.04833632843289684,0.023846741954367978
IL-7,"[0.6886792452830188, 1.164835164835165, 0.9435483870967741, 0.9919354838709676, 0.8830645161290323]",1.1464342311296296,2.7460090778028556
IL-8,"[1.0676530558895803, 1.308907400366389, 3.1097560975609757, 2.524390243902439, 1.7926829268292683]",0.3526485655246755,-0.09786842926923112
IL-9,"[1.1538461538461537, 1.170731707317073, 1.2923076923076922, 1.3846153846153846, 1.1076923076923075]",1.18831894554577,0.9713525822211995
IL-10,"[1.9980059820538385, 2.1882352941176473, 0.8695652173913043, 0.8260869565217391, 1.0434782608695652]",1.9192913077490121,0.2890537815296527
IL-12p40,"[1.5241935483870968, 1.0588235294117647, 0.923076923076923, 0.9692307692307692, 1.0153846153846153]",0.5868591830601021,0.4699634132648111
IL-12p70,"[0.96875, 0.7884615384615384, 1.1590909090909092, 0.9204545454545455, 0.8863636363636364]",0.378377422872678,0.13506445886319896
IL-13,"[1.1216216216216217, 1.0740740740740742, 1.0256410256410255, 1.1282051282051282, 0.9743589743589743]",0.38004936416512425,-0.08218771223132622
