Group,Time,WT,KO,p-value,ko/wt FC
Day 8 OCR,1.31,[0.03925436 0.03276528 0.02927202],[0.03344819 0.02857141 0.02560272],0.019335714752839947,0.8650497491228079
Day 8 OCR,7.786666666666666,[0.03646501 0.02997314 0.02740604],[0.03128047 0.02595569 0.02344283],0.008140392649262206,0.8597121048124795
Day 8 OCR,14.256666666666666,[0.0360375  0.02881465 0.02684571],[0.0309033  0.02532865 0.02415047],0.034417425719142275,0.87660077193744
Day 8 OCR,20.823333333333334,[0.01525716 0.01250938 0.01176874],[0.01330771 0.01179251 0.0124189 ],0.4651706479763503,0.9490035802651352
Day 8 OCR,27.3,[0.01466766 0.01194914 0.01182477],[0.01310278 0.01162249 0.01276319],0.7031492488845968,0.9752065759672431
Day 8 OCR,33.776666666666664,[0.01552015 0.0120609  0.01261757],[0.0133963  0.01174722 0.01292535],0.4330561733147288,0.9470195106785922
Day 8 OCR,40.343333333333334,[0.07984035 0.06271099 0.06961194],[0.07016839 0.04936243 0.04543891],0.06874556730698582,0.7775602563718923
Day 8 OCR,46.82,[0.06830728 0.05681314 0.06158782],[0.05845479 0.04737646 0.03976714],0.07770569147665166,0.779817742093802
Day 8 OCR,53.300000000000004,[0.06179966 0.05181354 0.05768324],[0.05029199 0.04415745 0.03838046],0.06454723268987629,0.7754387284763491
Day 8 OCR,59.866666666666674,[0.01062451 0.00831653 0.00824533],[0.00972708 0.00713614 0.01059986],0.9425860254779077,1.0101781219460078
Day 8 OCR,66.34333333333335,[0.01081285 0.00855247 0.00885145],[0.00997505 0.00791662 0.01079777],0.8766500027401734,1.0167509769354102
Day 8 OCR,72.82333333333334,[0.01100254 0.00831661 0.00890279],[0.00949016 0.00793561 0.01054532],0.9360593704681067,0.9911115910735796
Day 6 OCR,1.31,[0.03266616 0.04706587 0.03200039],[0.02940558 0.04179368 0.03105014],0.12698456057266422,0.9151273961940524
Day 6 OCR,7.786666666666666,[0.02985935 0.04378307 0.03019868],[0.02764553 0.03930389 0.02871342],0.09415201848023907,0.9212425974740488
Day 6 OCR,14.256666666666666,[0.02821714 0.04251506 0.02992414],[0.02725303 0.03826086 0.02840759],0.15803033477153455,0.9330905008590765
Day 6 OCR,20.823333333333334,[0.01275911 0.01695176 0.01296877],[0.01202613 0.01672719 0.01376273],0.9144224851710903,0.9961670347960844
Day 6 OCR,27.3,[0.01256482 0.01616496 0.01330766],[0.01157986 0.01571861 0.01327734],0.2199392946421139,0.9652304568314503
Day 6 OCR,33.776666666666664,[0.01313355 0.01640857 0.01394005],[0.01198411 0.01592405 0.01387706],0.21557183089904644,0.9609737574135501
Day 6 OCR,40.343333333333334,[0.07453117 0.09512107 0.07575368],[0.04227876 0.08076849 0.04507062],0.04597147702473678,0.6850603648473439
Day 6 OCR,46.82,[0.06808205 0.08798643 0.06616527],[0.03717117 0.06957297 0.03558144],0.02301695659337985,0.6404318727743673
Day 6 OCR,53.300000000000004,[0.06292553 0.0837007  0.0604781 ],[0.03420416 0.06301177 0.03300475],0.009349892126251582,0.6287685513038571
Day 6 OCR,59.866666666666674,[0.00872778 0.01075938 0.00875403],[0.00784167 0.01027758 0.00927406],0.5686224837885334,0.969977485780767
Day 6 OCR,66.34333333333335,[0.00947572 0.01200581 0.009873  ],[0.00811469 0.01097359 0.0095486 ],0.09758598165259298,0.9133249980299211
Day 6 OCR,72.82333333333334,[0.00951881 0.01195526 0.00995142],[0.00809774 0.01110246 0.00976583],0.14853545856392084,0.9217371102761462
Day 4 OCR,1.31,[0.03952812 0.05185283 0.0315477 ],[0.03035291 0.03598493 0.03754857],0.4299741853384357,0.8450951811054638
Day 4 OCR,7.786666666666666,[0.03668935 0.04845471 0.0302974 ],[0.02813357 0.03379929 0.03524899],0.4036448500366867,0.8418280691210476
Day 4 OCR,14.256666666666666,[0.03549883 0.04731247 0.02972971],[0.02748826 0.03295077 0.03411567],0.38985330462802537,0.8401798735681554
Day 4 OCR,20.823333333333334,[0.01465835 0.02000767 0.01326066],[0.01175743 0.01473263 0.01730508],0.6710999487619683,0.9137945332910427
Day 4 OCR,27.3,[0.01373165 0.01844846 0.0134756 ],[0.01102282 0.01373594 0.01682554],0.6318490558538428,0.9108235455605107
Day 4 OCR,33.776666666666664,[0.01419932 0.01828628 0.01375387],[0.0111137  0.01358504 0.01703677],0.6006534013543473,0.9025949385591131
Day 4 OCR,40.343333333333334,[0.07862391 0.10257967 0.06965414],[0.05872116 0.07060892 0.04222528],0.017264805756666005,0.6838751588380803
Day 4 OCR,46.82,[0.07349328 0.09444648 0.06364588],[0.0495987  0.06427375 0.04046435],0.007358457809476499,0.6664351004788509
Day 4 OCR,53.300000000000004,[0.07022334 0.09151945 0.05975291],[0.04655595 0.05829054 0.03934272],0.021565778187521725,0.6509797432520699
Day 4 OCR,59.866666666666674,[0.00979909 0.01328126 0.00952068],[0.00803495 0.0089455  0.0115806 ],0.5439140858472409,0.8760781767296827
Day 4 OCR,66.34333333333335,[0.01029794 0.01380227 0.00991267],[0.00818984 0.00932345 0.01219237],0.5436986515931385,0.8733647599331676
Day 4 OCR,72.82333333333334,[0.01036247 0.0137137  0.00980053],[0.00818979 0.00929772 0.01155398],0.46567507051755885,0.8572702973636976
Day 8 ECAR,1.31,[0.00293709 0.00362434 0.00220228],[0.00292253 0.0041754  0.00126595],0.7875482686692777,0.9543771066971046
Day 8 ECAR,7.786666666666666,[0.00278496 0.00318909 0.00186524],[0.00260217 0.00340813 0.00079626],0.46109035940099463,0.8682634421775689
Day 8 ECAR,14.256666666666666,[0.00258546 0.00271134 0.00176707],[0.00240493 0.00309357 0.00077244],0.5763966073809008,0.8877478153512957
Day 8 ECAR,20.823333333333334,[0.00248694 0.00264688 0.001565  ],[0.00240938 0.00230682 0.00060811],0.220823992028371,0.7948127747920518
Day 8 ECAR,27.3,[0.00089966 0.00128959 0.00056197],[ 0.0011854   0.00205598 -0.00017382],0.8339830673982565,1.1149869137497928
Day 8 ECAR,33.776666666666664,[0.00115643 0.00145512 0.00079876],[1.14897018e-03 1.51759289e-03 2.33210437e-05],0.4653710949078127,0.7887522368278755
Day 8 ECAR,40.343333333333334,[0.00566558 0.00455266 0.0046023 ],[0.00487799 0.00448878 0.00137257],0.29134030603616307,0.7246252478512643
Day 8 ECAR,46.82,[0.00487409 0.00424743 0.00424336],[0.0044103  0.00413869 0.00147463],0.3133501824980208,0.7499967438608732
Day 8 ECAR,53.300000000000004,[0.00455058 0.00389755 0.00420641],[0.00405137 0.00396219 0.00162078],0.3380412947044984,0.761334542506567
Day 8 ECAR,59.866666666666674,[0.00487817 0.00216747 0.00331829],[0.00402369 0.00260855 0.00111356],0.3715666129627613,0.7473812258297282
Day 8 ECAR,66.34333333333335,[0.00172023 0.0010258  0.00122515],[0.00162159 0.00153141 0.00042139],0.7600306970558907,0.9000801921964945
Day 8 ECAR,72.82333333333334,[0.00135231 0.00097425 0.00094806],[0.00137262 0.00146234 0.00015533],0.8237102424387478,0.9131728544106028
Day 6 ECAR,1.31,[0.00255401 0.00432169 0.00254334],[0.0029254  0.00559869 0.0029948 ],0.13678045480839307,1.2229378590394302
Day 6 ECAR,7.786666666666666,[0.00238397 0.00394529 0.00242565],[0.00246915 0.00432158 0.00239356],0.3596652271345093,1.0490448291475782
Day 6 ECAR,14.256666666666666,[0.00221507 0.00358987 0.00215593],[0.002175   0.00393867 0.00209488],0.5987169106236679,1.0311134086258258
Day 6 ECAR,20.823333333333334,[0.00235314 0.00439974 0.00214528],[0.00237552 0.00448721 0.00237304],0.20440265141168892,1.0379424134903927
Day 6 ECAR,27.3,[0.0009506  0.00204936 0.0006464 ],[0.00124213 0.00268601 0.00077603],0.14238406613615376,1.290098193653004
Day 6 ECAR,33.776666666666664,[0.00096252 0.00182347 0.00082588],[0.00118835 0.00228642 0.00095711],0.10933248855298901,1.2270342056262906
Day 6 ECAR,40.343333333333334,[0.00495536 0.00725108 0.005186  ],[0.00352952 0.00648733 0.00322693],0.05719248936629046,0.7614677634749288
Day 6 ECAR,46.82,[0.00479938 0.00690593 0.0045859 ],[0.00308536 0.00607885 0.00270537],0.04585116064467059,0.7285881524513214
Day 6 ECAR,53.300000000000004,[0.00451335 0.00667256 0.00429743],[0.00300665 0.00574704 0.00281002],0.02062347321658607,0.7468484769064743
Day 6 ECAR,59.866666666666674,[0.00484226 0.00420648 0.00340907],[0.00304926 0.00359334 0.00186915],0.06695675485384833,0.6832470057559145
Day 6 ECAR,66.34333333333335,[0.00175357 0.00212689 0.00149937],[0.00122154 0.00248255 0.00118406],0.6020940469807349,0.9086055050709662
Day 6 ECAR,72.82333333333334,[0.00130569 0.00189116 0.00121074],[0.00122442 0.0023681  0.00115583],0.5959582697811687,1.0773113447417428
Day 4 ECAR,1.31,[0.00344274 0.00536876 0.00285019],[0.00322736 0.00614332 0.00354303],0.3188983529691648,1.1073622742876246
Day 4 ECAR,7.786666666666666,[0.00298549 0.00476694 0.00257631],[0.00270319 0.00508713 0.00261571],0.8959016202943756,1.0074833280533457
Day 4 ECAR,14.256666666666666,[0.00278355 0.00455681 0.00241362],[0.0024311  0.00490162 0.00280009],0.6508648975600894,1.0388397146385717
Day 4 ECAR,20.823333333333334,[0.0033329  0.00637214 0.00291239],[0.00319806 0.0060311  0.00305677],0.514385010800999,0.9737266515710218
Day 4 ECAR,27.3,[0.00154402 0.00334492 0.00108045],[0.00157105 0.00398637 0.00161219],0.1687585560397008,1.201060922920217
Day 4 ECAR,33.776666666666664,[0.00145859 0.00251574 0.00106025],[0.00134939 0.00351628 0.0017184 ],0.25609199659877835,1.3077708648358164
