gene,pmg,diapasef
A2M,4.954098228914426e-05,0.00030775390281135244
AAK1,2.3767187061079047e-05,3.3480070384111325e-05
ABAT,1.799270300081063e-05,0.0001781861910080538
ABCE1,1.351329767136284e-06,4.860500623683647e-05
ABCF1,2.5488364380693333e-05,0.0001569429619428625
ABHD10,4.144247923562741e-06,0.00025509316909670346
ABHD12,1.739865431572261e-05,0.0009688447643801444
ABHD14B,7.897529061883715e-05,0.00012058306287283131
ABI1,3.6908268292638675e-05,0.00022316915368035442
ABI2,9.678711501964633e-06,1.7086417914561415e-05
ABI3,0.00013063309456153895,1.4059915945461198e-05
ABR,2.0307627875768204e-05,0.00014264996365240688
ACAA1,4.919476338396945e-05,0.0014422921397304548
ACAA2,4.6279205120172416e-05,0.0015685083597303967
ACADM,4.9651075323817736e-05,0.0006418449089639886
ACADVL,2.3238503605913864e-05,0.0009195664738816384
ACAT1,0.00016597749571321054,0.0010323060846201475
ACBD3,1.3106933118507187e-05,6.439386810054162e-05
ACIN1,8.28542432372923e-05,0.00034430861371480335
ACLY,7.14990420698314e-05,0.0002624825457987369
ACO1,1.112885197600515e-05,9.026269477308181e-05
ACO2,0.00026919754509295297,0.002364545924510482
ACOT1,1.2440051185827017e-05,0.0002113180397916056
ACOT7,2.3989240134843315e-05,5.221212029638129e-05
ACOT9,3.046971284397424e-06,0.0017281302574834825
ACP1,7.89291173913118e-05,8.804220400636425e-05
ACSL1,4.122498325866673e-05,0.0017116167684263094
ACSL3,1.1166934851055401e-05,0.0005070897403777025
ACSS1,2.748632008634758e-06,0.0001160022537804556
ACTA2,0.006065961592914489,0.0004437413017608023
ACTB,0.023637982325273345,0.007950726089696882
ACTC1,0.006065961592914489,0.0004437413017608023
ACTG1,0.023637982325273345,0.0040363555347509
ACTG2,0.006065961592914489,0.0004437413017608023
ACTL6A,2.6960246422303396e-05,2.74751321692967e-05
ACTN1,6.451467892118477e-05,0.0005798474084816445
ACTN4,6.930902581298804e-05,0.00032216560887320025
ACTR1A,0.00011114176919778617,0.0001495564983149737
ACTR2,0.00014824456730552074,0.000576515579928764
ACTR3,0.00017143316367507463,0.00044984055075104824
ADAM10,2.8055455303888227e-06,0.00026055154177513846
ADAR,8.50701566521825e-05,4.3290466594290874e-05
ADD1,6.24201348461424e-05,5.462378155383791e-06
ADH5,3.908804613816119e-05,0.00016334444237561013
ADK,1.8237621859858104e-05,1.637879579141247e-05
ADPGK,1.179651684602162e-05,0.0008454760743565441
ADSL,5.5033669134293875e-06,2.6432579346372942e-05
AFG3L2,4.876093579839437e-06,0.0006963121127825546
AGA,1.278618978973657e-05,4.243948480980105e-05
AGAP3,7.218079981190126e-06,4.1634383943088595e-06
AGFG1,2.4020336799815824e-05,3.4385672308812304e-05
AGPS,1.6708284262953464e-06,0.0003747451406460686
AHCY,9.669777986204293e-05,0.0004309274168672649
AHCYL1,5.693259330456442e-05,2.538580256593952e-05
AHNAK,6.717806109908632e-05,1.4929723471610472e-05
AHSA1,4.804364474644632e-05,1.1316273475801156e-05
AIDA,1.5046248825204247e-05,2.477201784367334e-05
AIF1,0.00044365686194940596,0.0005408085736013902
AIFM1,2.4781793547657685e-05,0.00104749412494153
AIMP1,2.9666840718573775e-05,8.449881344373245e-05
AIMP2,8.415753277248593e-06,0.0002378688899482491
AIP,3.7536023433820186e-05,0.00013411939015422835
AK1,9.077977736543597e-05,8.018964851534021e-05
AK2,0.00012186700693927088,0.0005138007349383132
AK3,3.777510037581989e-05,0.0005555523701157218
AKAP13,1.2153194990996742e-05,1.6283028478908908e-05
AKAP8,3.7957002816953433e-06,7.367055271400457e-06
AKAP8L,9.088597578874425e-06,1.779462265253928e-05
AKR1A1,0.00013542306503438545,0.0003493824606061518
AKR1B1,0.00020502338368710946,0.0015007575378124774
AKR7A2,3.410493104704454e-05,0.00023308926354550477
ALAD,8.117735206546973e-06,3.0350955378267745e-05
ALCAM,2.888697490567072e-06,0.00011993672454699929
ALDH16A1,4.13571591412871e-05,0.0001372615047534422
ALDH1A1,9.322173884203717e-06,5.471445098658843e-05
ALDH1L1,2.5994523330952675e-06,0.0002612131737402296
ALDH2,0.00014698403819407888,4.87593991665e-05
ALDH3A2,1.665145104246466e-05,0.00026044375803178845
ALDH4A1,3.08404236350538e-05,0.0007510160038753689
ALDH5A1,3.781195865657491e-05,6.457447869750653e-05
ALDH6A1,5.0193108864332634e-05,0.0003223043440293366
ALDH7A1,3.123100898928558e-05,0.00033489647115361677
ALDH9A1,7.680093310871976e-05,0.00021821401456039824
ALDOA,0.0011154708983419344,0.0007668485618512429
ALDOC,0.00020758941061853963,0.00011262454430979764
ALOX5,3.8959423586528637e-05,0.000216504404171789
ALOX5AP,0.00022188102830344924,0.00021367872225153183
ALYREF,0.0003044046310810275,0.0001407182313602723
AMPD2,1.2352663333906226e-05,4.2560377386801746e-05
ANK3,2.778363552097816e-06,8.291992725736192e-06
ANKRD44,1.794855738023314e-05,8.446057934558464e-05
ANP32A,0.0003320409137802508,0.0003284174301217693
ANP32B,0.00013764861460110702,6.446560255135228e-05
ANP32E,8.158307420820328e-05,8.004800028505928e-05
ANXA1,0.0001293215139207071,0.001413747654456104
ANXA11,6.528512941073592e-05,0.001473644100211659
ANXA2,0.00010221840753244028,0.0025194522834920048
ANXA4,7.8956821327827e-05,0.0009017821562288856
ANXA5,0.0008312044193163408,0.002169723167062646
ANXA6,7.321210896165428e-05,0.0029539008787315487
ANXA7,6.280626950274706e-05,0.0004388582612259249
AP1B1,2.618804938023281e-05,0.00020668115402194644
AP2A1,6.854734823666671e-05,8.208970112615233e-05
AP2A2,3.9350189618607255e-05,0.00020891985150206773
AP2B1,7.766134109068006e-05,5.0632869975742696e-05
AP2M1,7.751854536572887e-05,0.00045327797824167037
AP3D1,1.5855946558151938e-05,7.889587946087193e-05
AP3S1,5.508947851365059e-06,0.00012143331638878499
APBB1IP,8.906835664955094e-05,5.2987726287379724e-05
APEH,5.1532132462567594e-05,0.0004283311395358945
APEX1,0.00022524585207106787,0.0005538809938252605
API5,8.428019295517282e-05,0.00010867477990399483
APMAP,0.0006140457076697552,0.0002713728839537729
APOA1,3.783163246656397e-05,4.114462335252854e-05
APOBR,2.1457662446210305e-05,0.00025473012723143334
APOC3,4.9479230616158194e-05,1.3343263292464007e-05
APOE,6.010248575076084e-05,0.00031690423283379355
APOL2,1.9636349448814967e-05,0.0001237703301212864
APOO,2.745273408215197e-05,0.00010462123723179081
APOOL,2.3151436959054117e-05,0.00013583118534844603
