gene,pmg,pasef
A2M,4.954098228914426e-05,0.0005930883922945483
AAK1,2.3767187061079047e-05,2.8548064721629716e-06
AARS,3.499121611173535e-05,0.00015475762675731323
ABAT,1.799270300081063e-05,6.972823723460966e-05
ABCE1,1.351329767136284e-06,4.999873074576134e-05
ABCF1,2.5488364380693333e-05,3.2594917235109094e-05
ABHD10,4.144247923562741e-06,0.0003272404088310988
ABHD12,1.739865431572261e-05,0.0007637663779246864
ABHD14B,7.897529061883715e-05,2.0128615946305327e-05
ABI1,3.6908268292638675e-05,0.00011114464733086379
ABR,2.0307627875768204e-05,4.3759710844632145e-05
ACAA1,4.919476338396945e-05,0.0007716311819392801
ACAA2,4.6279205120172416e-05,0.0012160806476147344
ACADM,4.9651075323817736e-05,0.0006640623792695292
ACADVL,2.3238503605913864e-05,0.0007028141468115852
ACAT1,0.00016597749571321054,0.0018191761226293442
ACBD3,1.3106933118507187e-05,2.4653812883060366e-05
ACIN1,8.28542432372923e-05,6.375333388620937e-05
ACLY,7.14990420698314e-05,0.00029840768515819466
ACO1,1.112885197600515e-05,8.173086724195604e-05
ACO2,0.00026919754509295297,0.0033239068160931225
ACOT1,1.2440051185827017e-05,0.0001707806976228661
ACOT2,1.2440051185827017e-05,0.0001707806976228661
ACOT7,2.3989240134843315e-05,1.3961347708667484e-05
ACOT9,3.046971284397424e-06,0.0005323122388832662
ACP1,7.89291173913118e-05,6.477018261421561e-05
ACSL1,4.122498325866673e-05,0.0007700318094810885
ACSL3,1.1166934851055401e-05,0.00046490382537012535
ACSS1,2.748632008634758e-06,0.00015656242320096067
ACTG1,0.023637982325273345,0.013539201418555804
ACTL6A,2.6960246422303396e-05,1.2602321313459145e-05
ACTN1,6.451467892118477e-05,0.0013048678287570976
ACTN2,7.055630521566178e-06,2.8621430430721075e-06
ACTN4,6.930902581298804e-05,0.0019080953620480715
ACTR1A,0.00011114176919778617,0.0002742116742998644
ACTR2,0.00014824456730552074,0.0006360513515384482
ACTR3,0.00017143316367507463,0.002066858756521773
ADAM10,2.8055455303888227e-06,0.0003856395132678208
ADAR,8.50701566521825e-05,1.2981622029461473e-05
ADH5,3.908804613816119e-05,0.00016476470947737463
ADK,1.8237621859858104e-05,5.787233864544601e-06
ADPGK,1.179651684602162e-05,0.0009589778566749752
ADPRHL2,2.0424185162295225e-05,3.723016273550117e-05
ADRBK1,3.39132318515491e-06,3.849498756023621e-06
ADSL,5.5033669134293875e-06,2.551512630779292e-05
ADSS,1.152865190042568e-06,4.619691970064709e-06
AFG3L2,4.876093579839437e-06,0.0006666888716549998
AGA,1.278618978973657e-05,0.00010513306112791782
AGPS,1.6708284262953464e-06,0.0007731131692629256
AHCY,9.669777986204293e-05,0.00035366673724580643
AHCYL1,5.693259330456442e-05,4.699367130137926e-05
AHSA1,4.804364474644632e-05,1.4568228854271208e-05
AIF1,0.00044365686194940596,0.000376527492198674
AIFM1,2.4781793547657685e-05,0.0037900725316596193
AIMP1,2.9666840718573775e-05,3.1850988944922706e-05
AIMP2,8.415753277248593e-06,2.6416057215434816e-05
AIP,3.7536023433820186e-05,3.813109364314306e-05
AK1,9.077977736543597e-05,1.0962744446685448e-05
AK2,0.00012186700693927088,0.0007230777556626186
AK3,3.777510037581989e-05,0.0002227969853686398
AKAP13,1.2153194990996742e-05,8.109992214377036e-06
AKR1A1,0.00013542306503438545,0.0008967490622236842
AKR1B1,0.00020502338368710946,0.0004898188201775509
AKR7A2,3.410493104704454e-05,7.818583617866156e-05
ALAD,8.117735206546973e-06,1.2655438086841289e-05
ALCAM,2.888697490567072e-06,9.44231349147612e-05
ALDH16A1,4.13571591412871e-05,0.00011988250328364469
ALDH1A1,9.322173884203717e-06,0.00010705671002029325
ALDH2,0.00014698403819407888,1.5525651357913445e-05
ALDH3A2,1.665145104246466e-05,0.00015964378298279774
ALDH4A1,3.08404236350538e-05,0.00023450615253962074
ALDH5A1,3.781195865657491e-05,2.69604307768927e-05
ALDH6A1,5.0193108864332634e-05,0.0003485898301766844
ALDH7A1,3.123100898928558e-05,0.0005768598974435396
ALDH9A1,7.680093310871976e-05,0.0005330018765487251
ALDOA,0.0011154708983419344,0.0020379526671397774
ALDOC,0.00020758941061853963,0.00016877047719376283
ALOX5,3.8959423586528637e-05,0.0001458026083056219
ALOX5AP,0.00022188102830344924,0.0005215128065050182
ALYREF,0.0003044046310810275,1.2957704808297689e-05
ANKRD44,1.794855738023314e-05,5.8493012544358905e-06
ANP32A,0.0003320409137802508,7.026380691097658e-05
ANP32B,0.00013764861460110702,0.00011004562900867523
ANP32E,8.158307420820328e-05,1.7986337240837635e-06
ANXA1,0.0001293215139207071,0.0014212845359432664
ANXA11,6.528512941073592e-05,0.0007634875882301393
ANXA2,0.00010221840753244028,0.006794251587532598
ANXA2P2,0.00010221840753244028,0.006794251587532598
ANXA4,7.8956821327827e-05,0.0014855088776818423
ANXA5,0.0008312044193163408,0.0035636659534036847
ANXA6,7.321210896165428e-05,0.004758940085920109
ANXA7,6.280626950274706e-05,0.00046710479664286613
AP1B1,2.618804938023281e-05,0.00041547001058436745
AP2A1,6.854734823666671e-05,0.00015493370445913247
AP2A2,3.9350189618607255e-05,0.00031055337829826915
AP2B1,7.766134109068006e-05,3.6148752183494534e-05
AP2M1,7.751854536572887e-05,0.0003722282616459203
AP3D1,1.5855946558151938e-05,7.004957904042981e-05
AP3S1,5.508947851365059e-06,3.719054525259184e-05
APBB1IP,8.906835664955094e-05,6.503136453858085e-06
APEH,5.1532132462567594e-05,0.00011450039486470257
APEX1,0.00022524585207106787,6.260149225347502e-05
API5,8.428019295517282e-05,1.0481171932209767e-05
APMAP,0.0006140457076697552,0.0007389540951099887
APOA1,3.783163246656397e-05,2.933747975145274e-05
APOA1BP,6.099282602934735e-06,9.223536946965686e-05
APOBR,2.1457662446210305e-05,0.00020988462056856057
APOC3,4.9479230616158194e-05,1.5443481763731123e-05
APOE,6.010248575076084e-05,0.0004894666647739124
APOL2,1.9636349448814967e-05,8.216079029723141e-05
APOO,2.745273408215197e-05,0.00032860501102019814
APOOL,2.3151436959054117e-05,0.00017210128038651056
APP,0.00029557289717440814,4.889677779520912e-06
