,Img12,img21,iMG1,iMG2,iMG3,Astro
CX3CR1,12.77656897,3412.899301,8.822991043,2.095890949,32.83578769,2.465495194
P2RY12,16.82585172,4.714205573,14.36616234,31.18527597,77.04313598,0.588183518
CD68,457.6203631,58.69673143,392.8520824,33.07182188,8.276244414,15.81422833
CD33,1192.819405,176.5465339,714.8312369,31.64772913,415.4105797,3.172381541
C1Qc,3995234.897,159108.8329,8032845.814,404601.1101,16191.38622,10.81938652
C1Qa,23642.19951,958.3240286,6526.117111,186.6255943,5.745067725,0.595519049
NeuN,0.010081306,0.00415476,0.006238285,0.008287874,0.081600972,0.018101424
ITGAM,1371.57101,1026.98701,,,,
TREM2,131.8733083,12.7477193,,,,
AIF1,1.49726238,2.145447151,,,,
IL2,1.079971137,5.474655044,,,,
