sCategory	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
REACTOME_PATHWAY	R-HSA-202430~Translocation of ZAP-70 to Immunological synapse	7	29.166666666666668	3.153585986410811E-13	HLA-DRB5, HLA-DPB1, HLA-DRA, HLA-DRB1, HLA-DQA1, HLA-DPA1, HLA-DQB1	20	19	10882	200.4578947368421	1.6080470288670767E-11	1.6083288530695137E-11	1.4506495537489732E-11
REACTOME_PATHWAY	R-HSA-202427~Phosphorylation of CD3 and TCR zeta chains	7	29.166666666666668	8.646322307843791E-13	HLA-DRB5, HLA-DPB1, HLA-DRA, HLA-DRB1, HLA-DQA1, HLA-DPA1, HLA-DQB1	20	22	10882	173.12272727272725	4.409672627048167E-11	1.9867685227961784E-11	1.791987295071063E-11
REACTOME_PATHWAY	R-HSA-389948~PD-1 signaling	7	29.166666666666668	1.1686873663506932E-12	HLA-DRB5, HLA-DPB1, HLA-DRA, HLA-DRB1, HLA-DQA1, HLA-DPA1, HLA-DQB1	20	23	10882	165.59565217391304	5.960532067916802E-11	1.9867685227961784E-11	1.791987295071063E-11
REACTOME_PATHWAY	R-HSA-202433~Generation of second messenger molecules	7	29.166666666666668	1.5394937567842037E-11	HLA-DRB5, HLA-DPB1, HLA-DRA, HLA-DRB1, HLA-DQA1, HLA-DPA1, HLA-DQB1	20	34	10882	112.0205882352941	7.851402861192014E-10	1.9628545398998597E-10	1.7704178203018343E-10
REACTOME_PATHWAY	R-HSA-2132295~MHC class II antigen presentation	8	33.33333333333333	8.937167734250405E-10	CD74, HLA-DRB5, HLA-DPB1, HLA-DRA, HLA-DRB1, HLA-DQA1, HLA-DPA1, HLA-DQB1	20	123	10882	35.388617886178864	4.557955413098114E-8	9.115911088935412E-9	8.222194315510371E-9
REACTOME_PATHWAY	R-HSA-388841~Costimulation by the CD28 family	7	29.166666666666668	1.3237337915910857E-9	HLA-DRB5, HLA-DPB1, HLA-DRA, HLA-DRB1, HLA-DQA1, HLA-DPA1, HLA-DQB1	20	69	10882	55.198550724637684	6.751042103125826E-8	1.1251737228524228E-8	1.0148625735531658E-8
REACTOME_PATHWAY	R-HSA-877300~Interferon gamma signaling	7	29.166666666666668	7.195622908293188E-9	HLA-DRB5, HLA-DPB1, HLA-DRA, HLA-DRB1, HLA-DQA1, HLA-DPA1, HLA-DQB1	20	91	10882	41.853846153846156	3.669767005831659E-7	5.2425252617564657E-8	4.72855219687838E-8
REACTOME_PATHWAY	R-HSA-202424~Downstream TCR signaling	7	29.166666666666668	1.1281454606533362E-8	HLA-DRB5, HLA-DPB1, HLA-DRA, HLA-DRB1, HLA-DQA1, HLA-DPA1, HLA-DQB1	20	98	10882	38.86428571428571	5.753540253117251E-7	7.191927311665018E-8	6.486836398756683E-8
REACTOME_PATHWAY	R-HSA-202403~TCR signaling	7	29.166666666666668	3.827016217730302E-8	HLA-DRB5, HLA-DPB1, HLA-DRA, HLA-DRB1, HLA-DQA1, HLA-DPA1, HLA-DQB1	20	120	10882	31.739166666666666	1.95177640227584E-6	2.1686425233805044E-7	1.9560305112843763E-7
REACTOME_PATHWAY	R-HSA-1280218~Adaptive Immune System	11	45.83333333333333	1.5075033568017902E-7	CD74, HLA-DRB5, CD207, HLA-DPB1, HLA-DRA, CD1C, HLA-DRB1, CD1A, HLA-DQA1, HLA-DPA1, HLA-DQB1	20	769	10882	7.78296488946684	7.688238143455095E-6	7.688267119689129E-7	6.934515441288234E-7
REACTOME_PATHWAY	R-HSA-168256~Immune System	15	62.5	2.4521674264790403E-7	CD74, HLA-DRB5, CLEC10A, CD1C, CD1A, CST3, CD207, HLA-DPB1, HLA-DRA, FCER1A, LTB, HLA-DQA1, HLA-DRB1, HLA-DPA1, HLA-DQB1	20	2016	10882	4.048363095238095	1.2505977210142127E-5	1.1369139886402824E-6	1.025451832891235E-6
REACTOME_PATHWAY	R-HSA-913531~Interferon Signaling	7	29.166666666666668	7.717884403747117E-7	HLA-DRB5, HLA-DPB1, HLA-DRA, HLA-DRB1, HLA-DQA1, HLA-DPA1, HLA-DQB1	20	199	10882	19.139195979899498	3.936045100572105E-5	3.2801008715925246E-6	2.958522354769728E-6
REACTOME_PATHWAY	R-HSA-1280215~Cytokine Signaling in Immune system	8	33.33333333333333	1.2866585338066868E-4	HLA-DRB5, HLA-DPB1, HLA-DRA, LTB, HLA-DRB1, HLA-DQA1, HLA-DPA1, HLA-DQB1	20	715	10882	6.087832167832168	0.0065408953124830305	5.047660401857002E-4	4.552791735008276E-4
